"02:ec:da:b4:14:dc","18:e8:29:9e:88:b4","fc:ec:da:b4:14:dc","02:ec:da:b5:15:53","fc:ec:da:b5:14:dc","fc:60:9b:e9:1b:e5","1e:e8:29:9e:88:b4","fc:60:9b:e9:1b:e9","18:e8:29:9d:88:b4","02:ec:da:b4:15:53","Cell"
"-56","-56","-56","-70","-70","-55","-57","-77","-53","-62","C1"
"-49","-54","-49","-66","-67","-61","-54","-67","-51","-60","C1"
"-58","-54","-59","-72","-63","-64","-54","-66","-53","-60","C1"
"-56","-51","-57","-66","-66","-64","-51","-71","-56","-54","C1"
"-54","-55","-53","-70","-67","-61","-55","-69","-54","-70","C1"
"-62","-48","-62","-70","-66","-64","-48","-68","-47","-59","C2"
"-64","-49","-63","-72","-62","-48","-49","-58","-39","-63","C2"
"-64","-49","-63","-72","-62","-48","-49","-58","-39","-63","C2"
"-59","-42","-59","-66","-63","-53","-43","-56","-42","-66","C2"
"-59","-42","-59","-66","-63","-53","-43","-56","-42","-66","C2"
"-60","-42","-59","-75","-62","-49","-43","-57","-41","-63","C3"
"-60","-42","-59","-75","-62","-49","-43","-57","-41","-63","C3"
"-69","-49","-70","-68","-62","-50","-50","-61","-44","-61","C3"
"-69","-49","-70","-68","-62","-50","-50","-61","-44","-61","C3"
"-61","-46","-60","-69","-66","-61","-48","-59","-54","-69","C3"
"-61","-46","-60","-69","-66","-61","-48","-59","-54","-69","C4"
"-57","-50","-58","-67","-66","-51","-49","-69","-48","-59","C4"
"-68","-50","-67","-62","-68","-59","-50","-64","-51","-59","C4"
"-70","-38","-68","-61","-67","-60","-38","-68","-52","-59","C4"
"-70","-38","-68","-61","-67","-60","-38","-68","-52","-59","C4"
